block_id,endpoint,n,met,missed,error,timer_late,violation_upper_conservative,violation_best_case,block_valid
b1,L1,150,86,64,0,0,0.4267,0.4267,true
b1,L2,100,99,1,0,0,0.0100,0.0100,true
b2,L1,150,92,58,0,0,0.3867,0.3867,true
b2,L2,100,99,1,0,0,0.0100,0.0100,true
b3,L1,150,85,65,0,0,0.4333,0.4333,true
b3,L2,100,99,1,0,0,0.0100,0.0100,true
b4,L1,150,81,68,0,1,0.4600,0.4564,true
b4,L2,100,94,6,0,0,0.0600,0.0600,true
b5,L1,150,103,47,0,0,0.3133,0.3133,true
b5,L2,100,100,0,0,0,0.0000,0.0000,true
b6,L1,150,97,53,0,0,0.3533,0.3533,true
b6,L2,100,100,0,0,0,0.0000,0.0000,true
b7,L1,150,100,50,0,0,0.3333,0.3333,true
b7,L2,100,100,0,0,0,0.0000,0.0000,true
b8,L1,150,110,40,0,0,0.2667,0.2667,true
b8,L2,100,99,1,0,0,0.0100,0.0100,true
b9,L1,150,141,8,0,1,0.0600,0.0537,true
b9,L2,100,100,0,0,0,0.0000,0.0000,true
b10,L1,150,145,5,0,0,0.0333,0.0333,true
b10,L2,100,100,0,0,0,0.0000,0.0000,true
b11,L1,150,145,5,0,0,0.0333,0.0333,true
b11,L2,100,100,0,0,0,0.0000,0.0000,true
b12,L1,150,138,12,0,0,0.0800,0.0800,true
b12,L2,100,98,2,0,0,0.0200,0.0200,true
b13,L1,150,148,2,0,0,0.0133,0.0133,true
b13,L2,100,100,0,0,0,0.0000,0.0000,true
b14,L1,150,146,4,0,0,0.0267,0.0267,true
b14,L2,100,100,0,0,0,0.0000,0.0000,true
b15,L1,150,149,1,0,0,0.0067,0.0067,true
b15,L2,100,100,0,0,0,0.0000,0.0000,true
b16,L1,150,145,5,0,0,0.0333,0.0333,true
b16,L2,100,100,0,0,0,0.0000,0.0000,true
b17,L1,150,144,6,0,0,0.0400,0.0400,true
b17,L2,100,100,0,0,0,0.0000,0.0000,true
b18,L1,150,145,5,0,0,0.0333,0.0333,true
b18,L2,100,100,0,0,0,0.0000,0.0000,true
b19,L1,150,143,7,0,0,0.0467,0.0467,true
b19,L2,100,100,0,0,0,0.0000,0.0000,true
b20,L1,150,143,7,0,0,0.0467,0.0467,true
b20,L2,100,100,0,0,0,0.0000,0.0000,true
b21,L1,150,141,9,0,0,0.0600,0.0600,true
b21,L2,100,100,0,0,0,0.0000,0.0000,true
b22,L1,150,145,5,0,0,0.0333,0.0333,true
b22,L2,100,100,0,0,0,0.0000,0.0000,true
b23,L1,150,146,4,0,0,0.0267,0.0267,true
b23,L2,100,100,0,0,0,0.0000,0.0000,true
b24,L1,150,145,5,0,0,0.0333,0.0333,true
b24,L2,100,100,0,0,0,0.0000,0.0000,true
b25,L1,150,147,3,0,0,0.0200,0.0200,true
b25,L2,100,100,0,0,0,0.0000,0.0000,true
b26,L1,150,146,4,0,0,0.0267,0.0267,true
b26,L2,100,100,0,0,0,0.0000,0.0000,true
b27,L1,150,143,7,0,0,0.0467,0.0467,true
b27,L2,100,100,0,0,0,0.0000,0.0000,true
b28,L1,150,145,5,0,0,0.0333,0.0333,true
b28,L2,100,100,0,0,0,0.0000,0.0000,true
b29,L1,150,137,13,0,0,0.0867,0.0867,true
b29,L2,100,100,0,0,0,0.0000,0.0000,true
b30,L1,150,142,8,0,0,0.0533,0.0533,true
b30,L2,100,99,1,0,0,0.0100,0.0100,true
